Year,Coal,Petroleum_Products,Natural_Gas
1980,21.7,51.7,8.5
1981,24.7,45.1,8.2
1982,24.3,41.9,8.2
1983,25.8,43.2,7.8
1984,28.7,46,7.9
1985,27.9,46.5,7.6
1986,28.4,50.5,7.7
1987,31.7,52.8,8.7
1988,32.2,55.2,9
1989,36.1,53.9,9.5
1990,33.7,51.1,10.1
1991,36.1,50.1,10
1992,36.1,49.6,11.7
1993,37.6,50.9,13.2
1994,35.2,51.5,13.8
1995,36.5,51.2,15
1996,40.6,52.4,14.3
1997,41,54.7,13.7
1998,41.6,55.5,14.3
1999,42.2,56.1,15.2
2000,48.2,59.6,14.7
2001,46.3,60.9,13
2002,45.9,58.8,14.1
2003,44.2,64.4,14.4
2004,43.1,68.5,15.1
2005,43.7,68.3,16.5
2006,41.3,65.8,15
2007,43.6,66.2,17.5
2008,39.5,60.2,16.4
2009,31.9,55.8,17.5
2010,32.9,54.9,20.4
2011,27.4,51.7,20.3
2012,21.1,53.8,22.4
2013,27.6,54.1,23
2014,26.5,54.1,23.2
2015,22.1,52.9,27.9
2016,21.2,52.4,30.3
2017,15.2,51.7,31.6
